"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Connecticut"	"09"	"2005"	"2005"	175	3506956	5.0	5.1
	"Connecticut"	"09"	"2006"	"2006"	238	3517460	6.8	6.8
	"Connecticut"	"09"	"2007"	"2007"	249	3527270	7.1	7.2
	"Connecticut"	"09"	"2008"	"2008"	233	3545579	6.6	6.6
	"Connecticut"	"09"	"2009"	"2009"	220	3561807	6.2	6.3
	"Connecticut"	"09"	"2010"	"2010"	225	3574097	6.3	6.3
	"Connecticut"	"09"	"2011"	"2011"	212	3580709	5.9	6.0
	"Connecticut"	"09"	"2012"	"2012"	202	3590347	5.6	5.8
	"Connecticut"	"09"	"2013"	"2013"	442	3596080	12.3	12.4
	"Connecticut"	"09"	"2014"	"2014"	531	3596677	14.8	15.3
	"Connecticut"	"09"	"2015"	"2015"	692	3590886	19.3	19.4
	"Connecticut"	"09"	"2016"	"2016"	868	3576452	24.3	24.8
	"Connecticut"	"09"	"2017"	"2017"	967	3588184	26.9	28.0
	"Connecticut"	"09"	"2018"	"2018"	959	3572665	26.8	27.9
	"Delaware"	"10"	"1999"	"1999"	32	774990	4.1	4.1
	"Delaware"	"10"	"2000"	"2000"	34	783600	4.3	4.4
	"Delaware"	"10"	"2001"	"2001"	40	795699	5.0	5.0
	"Delaware"	"10"	"2002"	"2002"	53	806169	6.6	6.6
	"Delaware"	"10"	"2003"	"2003"	45	818003	5.5	5.5
	"Delaware"	"10"	"2004"	"2004"	37	830803	4.5	4.5
	"Delaware"	"10"	"2005"	"2005"	33	845150	3.9	4.0
	"Delaware"	"10"	"2006"	"2006"	42	859268	4.9	5.1
	"Delaware"	"10"	"2007"	"2007"	51	871749	5.9	5.9
	"Delaware"	"10"	"2008"	"2008"	67	883874	7.6	7.9
	"Delaware"	"10"	"2009"	"2009"	92	891730	10.3	10.5
	"Delaware"	"10"	"2010"	"2010"	115	897934	12.8	13.3
	"Delaware"	"10"	"2011"	"2011"	115	907135	12.7	12.8
	"Delaware"	"10"	"2012"	"2012"	86	917092	9.4	9.6
	"Delaware"	"10"	"2013"	"2013"	115	925749	12.4	13.0
	"Delaware"	"10"	"2014"	"2014"	125	935614	13.4	14.1
	"Delaware"	"10"	"2015"	"2015"	138	945934	14.6	15.2
	"Delaware"	"10"	"2016"	"2016"	159	952065	16.7	17.4
	"Delaware"	"10"	"2017"	"2017"	256	961939	26.6	28.6
	"Delaware"	"10"	"2018"	"2018"	358	967171	37.0	39.7
	"District of Columbia"	"11"	"1999"	"1999"	28	570213	4.9	4.9
	"District of Columbia"	"11"	"2000"	"2000"	43	572059	7.5	7.7
	"District of Columbia"	"11"	"2001"	"2001"	47	574504	8.2	8.3
	"District of Columbia"	"11"	"2002"	"2002"	29	573158	5.1	5.2
	"District of Columbia"	"11"	"2003"	"2003"	60	568502	10.6	10.7
	"District of Columbia"	"11"	"2004"	"2004"	53	567754	9.3	9.4
	"District of Columbia"	"11"	"2005"	"2005"	45	567136	7.9	8.0
	"District of Columbia"	"11"	"2006"	"2006"	62	570681	10.9	10.9
	"District of Columbia"	"11"	"2007"	"2007"	29	574404	5.0	5.2
	"District of Columbia"	"11"	"2008"	"2008"	32	580236	5.5	5.3
	"District of Columbia"	"11"	"2009"	"2009"	13	592228	Unreliable	Unreliable
	"District of Columbia"	"11"	"2010"	"2010"	36	601723	6.0	6.1
	"District of Columbia"	"11"	"2011"	"2011"	56	617996	9.1	8.7
	"District of Columbia"	"11"	"2012"	"2012"	45	632323	7.1	7.5
	"District of Columbia"	"11"	"2013"	"2013"	60	646449	9.3	8.6
	"District of Columbia"	"11"	"2014"	"2014"	65	658893	9.9	9.8
	"District of Columbia"	"11"	"2015"	"2015"	100	672228	14.9	14.8
	"District of Columbia"	"11"	"2016"	"2016"	213	681170	31.3	30.6
	"District of Columbia"	"11"	"2017"	"2017"	246	693972	35.4	35.1
	"District of Columbia"	"11"	"2018"	"2018"	192	702455	27.3	26.8
	"Florida"	"12"	"1999"	"1999"	414	15759421	2.6	2.7
	"Florida"	"12"	"2000"	"2000"	571	15982378	3.6	3.7
	"Florida"	"12"	"2001"	"2001"	887	16356966	5.4	5.6
	"Florida"	"12"	"2002"	"2002"	999	16689370	6.0	6.2
	"Florida"	"12"	"2003"	"2003"	1080	17004085	6.4	6.6
	"Florida"	"12"	"2004"	"2004"	1254	17415318	7.2	7.4
	"Florida"	"12"	"2005"	"2005"	1151	17842038	6.5	6.6
	"Florida"	"12"	"2006"	"2006"	1318	18166990	7.3	7.4
	"Florida"	"12"	"2007"	"2007"	1516	18367842	8.3	8.4
	"Florida"	"12"	"2008"	"2008"	1523	18527305	8.2	8.4
	"Florida"	"12"	"2009"	"2009"	1653	18652644	8.9	9.0
	"Florida"	"12"	"2010"	"2010"	1736	18801310	9.2	9.4
	"Florida"	"12"	"2011"	"2011"	1636	19057542	8.6	8.7
	"Florida"	"12"	"2012"	"2012"	1383	19317568	7.2	7.2
	"Florida"	"12"	"2013"	"2013"	1327	19552860	6.8	6.9
	"Florida"	"12"	"2014"	"2014"	1443	19893297	7.3	7.4
	"Florida"	"12"	"2015"	"2015"	1884	20271272	9.3	9.6
	"Florida"	"12"	"2016"	"2016"	2845	20612439	13.8	14.6
	"Florida"	"12"	"2017"	"2017"	3310	20984400	15.8	16.6
	"Florida"	"12"	"2018"	"2018"	3257	21299325	15.3	16.1
	"Georgia"	"13"	"1999"	"1999"	85	8045965	1.1	1.0
	"Georgia"	"13"	"2000"	"2000"	130	8186453	1.6	1.5
	"Georgia"	"13"	"2001"	"2001"	198	8377038	2.4	2.3
	"Georgia"	"13"	"2002"	"2002"	222	8508256	2.6	2.6
	"Georgia"	"13"	"2003"	"2003"	245	8622793	2.8	2.8
	"Georgia"	"13"	"2004"	"2004"	265	8769252	3.0	3.0
	"Georgia"	"13"	"2005"	"2005"	310	8925922	3.5	3.4
	"Georgia"	"13"	"2006"	"2006"	344	9155813	3.8	3.7
	"Georgia"	"13"	"2007"	"2007"	404	9349988	4.3	4.2
	"Georgia"	"13"	"2008"	"2008"	416	9504843	4.4	4.3
	"Georgia"	"13"	"2009"	"2009"	504	9620846	5.2	5.2
	"Georgia"	"13"	"2010"	"2010"	550	9687653	5.7	5.6
	"Georgia"	"13"	"2011"	"2011"	548	9815210	5.6	5.6
	"Georgia"	"13"	"2012"	"2012"	550	9919945	5.5	5.5
	"Georgia"	"13"	"2013"	"2013"	538	9992167	5.4	5.4
	"Georgia"	"13"	"2014"	"2014"	724	10097343	7.2	7.2
	"Georgia"	"13"	"2015"	"2015"	877	10214860	8.6	8.5
	"Georgia"	"13"	"2016"	"2016"	943	10310371	9.1	9.1
	"Georgia"	"13"	"2017"	"2017"	1055	10429379	10.1	10.1
	"Georgia"	"13"	"2018"	"2018"	901	10519475	8.6	8.6
	"Hawaii"	"15"	"1999"	"1999"	33	1210300	2.7	2.7
	"Hawaii"	"15"	"2000"	"2000"	30	1211537	2.5	2.4
	"Hawaii"	"15"	"2001"	"2001"	39	1225948	3.2	3.1
	"Hawaii"	"15"	"2002"	"2002"	48	1239613	3.9	3.8
	"Hawaii"	"15"	"2003"	"2003"	47	1251154	3.8	3.8
	"Hawaii"	"15"	"2004"	"2004"	64	1273569	5.0	4.9
	"Hawaii"	"15"	"2005"	"2005"	75	1292729	5.8	5.6
	"Hawaii"	"15"	"2006"	"2006"	66	1309731	5.0	4.9
	"Hawaii"	"15"	"2007"	"2007"	82	1315675	6.2	6.0
	"Hawaii"	"15"	"2008"	"2008"	57	1332213	4.3	4.1
	"Hawaii"	"15"	"2009"	"2009"	59	1346717	4.4	4.2
	"Hawaii"	"15"	"2010"	"2010"	77	1360301	5.7	5.4
	"Hawaii"	"15"	"2011"	"2011"	78	1374810	5.7	5.4
	"Hawaii"	"15"	"2012"	"2012"	64	1392313	4.6	4.6
	"Hawaii"	"15"	"2013"	"2013"	70	1404054	5.0	4.8
	"Hawaii"	"15"	"2014"	"2014"	62	1419561	4.4	4.1
	"Hawaii"	"15"	"2015"	"2015"	65	1431603	4.5	4.3
	"Hawaii"	"15"	"2016"	"2016"	82	1428557	5.7	5.5
	"Hawaii"	"15"	"2017"	"2017"	55	1427538	3.9	3.4
	"Hawaii"	"15"	"2018"	"2018"	61	1420491	4.3	4.3
	"Idaho"	"16"	"1999"	"1999"	32	1275674	2.5	2.6
	"Idaho"	"16"	"2000"	"2000"	29	1293953	2.2	2.3
	"Idaho"	"16"	"2001"	"2001"	51	1319962	3.9	4.1
	"Idaho"	"16"	"2002"	"2002"	45	1340372	3.4	3.5
	"Idaho"	"16"	"2003"	"2003"	55	1363380	4.0	4.2
	"Idaho"	"16"	"2004"	"2004"	48	1391802	3.4	3.6
	"Idaho"	"16"	"2005"	"2005"	52	1428241	3.6	3.9
	"Idaho"	"16"	"2006"	"2006"	71	1468669	4.8	5.1
	"Idaho"	"16"	"2007"	"2007"	64	1505105	4.3	4.4
	"Idaho"	"16"	"2008"	"2008"	75	1534320	4.9	5.0
	"Idaho"	"16"	"2009"	"2009"	66	1554439	4.2	4.5
	"Idaho"	"16"	"2010"	"2010"	81	1567582	5.2	5.4
	"Idaho"	"16"	"2011"	"2011"	80	1584985	5.0	5.3
	"Idaho"	"16"	"2012"	"2012"	61	1595728	3.8	4.0
	"Idaho"	"16"	"2013"	"2013"	81	1612136	5.0	5.0
	"Idaho"	"16"	"2014"	"2014"	80	1634464	4.9	5.1
	"Idaho"	"16"	"2015"	"2015"	91	1654930	5.5	6.1
	"Idaho"	"16"	"2016"	"2016"	122	1683140	7.2	7.6
	"Idaho"	"16"	"2017"	"2017"	108	1716943	6.3	6.6
	"Idaho"	"16"	"2018"	"2018"	126	1754208	7.2	7.4
	"Illinois"	"17"	"1999"	"1999"	544	12359020	4.4	4.4
	"Illinois"	"17"	"2000"	"2000"	629	12419293	5.1	5.1
	"Illinois"	"17"	"2001"	"2001"	579	12488445	4.6	4.6
	"Illinois"	"17"	"2002"	"2002"	610	12525556	4.9	4.9
	"Illinois"	"17"	"2003"	"2003"	504	12556006	4.0	4.0
	"Illinois"	"17"	"2004"	"2004"	571	12589773	4.5	4.5
	"Illinois"	"17"	"2005"	"2005"	643	12609903	5.1	5.1
	"Illinois"	"17"	"2006"	"2006"	925	12643955	7.3	7.3
	"Illinois"	"17"	"2007"	"2007"	736	12695866	5.8	5.8
	"Illinois"	"17"	"2008"	"2008"	895	12747038	7.0	7.0
	"Illinois"	"17"	"2009"	"2009"	933	12796778	7.3	7.3
	"Illinois"	"17"	"2010"	"2010"	918	12830632	7.2	7.2
	"Illinois"	"17"	"2011"	"2011"	955	12869257	7.4	7.4
	"Illinois"	"17"	"2012"	"2012"	1203	12875255	9.3	9.3
	"Illinois"	"17"	"2013"	"2013"	1137	12882135	8.8	8.7
	"Illinois"	"17"	"2014"	"2014"	1263	12880580	9.8	9.8
	"Illinois"	"17"	"2015"	"2015"	1440	12859995	11.2	11.2
	"Illinois"	"17"	"2016"	"2016"	2008	12801539	15.7	15.8
	"Illinois"	"17"	"2017"	"2017"	2250	12802023	17.6	17.6
	"Illinois"	"17"	"2018"	"2018"	2213	12741080	17.4	17.4
	"Indiana"	"18"	"1999"	"1999"	49	6044969	0.8	0.8
	"Indiana"	"18"	"2000"	"2000"	47	6080485	0.8	0.8
	"Indiana"	"18"	"2001"	"2001"	78	6127760	1.3	1.3
	"Indiana"	"18"	"2002"	"2002"	71	6155967	1.2	1.2
	"Indiana"	"18"	"2003"	"2003"	139	6196638	2.2	2.3
	"Indiana"	"18"	"2004"	"2004"	150	6233007	2.4	2.4
	"Indiana"	"18"	"2005"	"2005"	167	6278616	2.7	2.7
	"Indiana"	"18"	"2006"	"2006"	187	6332669	3.0	3.0
	"Indiana"	"18"	"2007"	"2007"	251	6379599	3.9	4.0
	"Indiana"	"18"	"2008"	"2008"	323	6424806	5.0	5.2
	"Indiana"	"18"	"2009"	"2009"	337	6459325	5.2	5.2
	"Indiana"	"18"	"2010"	"2010"	300	6483802	4.6	4.7
	"Indiana"	"18"	"2011"	"2011"	375	6516922	5.8	5.9
	"Indiana"	"18"	"2012"	"2012"	395	6537334	6.0	6.2
	"Indiana"	"18"	"2013"	"2013"	386	6570902	5.9	6.1
	"Indiana"	"18"	"2014"	"2014"	487	6596855	7.4	7.7
	"Indiana"	"18"	"2015"	"2015"	562	6619680	8.5	8.8
	"Indiana"	"18"	"2016"	"2016"	827	6633053	12.5	13.1
	"Indiana"	"18"	"2017"	"2017"	1211	6666818	18.2	19.3
	"Indiana"	"18"	"2018"	"2018"	1141	6691878	17.1	18.0
	"Iowa"	"19"	"1999"	"1999"	15	2917634	Unreliable	Unreliable
	"Iowa"	"19"	"2000"	"2000"	19	2926324	Unreliable	Unreliable
	"Iowa"	"19"	"2001"	"2001"	29	2931997	1.0	1.0
	"Iowa"	"19"	"2002"	"2002"	40	2934234	1.4	1.4
	"Iowa"	"19"	"2003"	"2003"	43	2941999	1.5	1.6
	"Iowa"	"19"	"2004"	"2004"	65	2953635	2.2	2.3
	"Iowa"	"19"	"2005"	"2005"	73	2964454	2.5	2.6
	"Iowa"	"19"	"2006"	"2006"	101	2982644	3.4	3.5
	"Iowa"	"19"	"2007"	"2007"	112	2999212	3.7	3.8
	"Iowa"	"19"	"2008"	"2008"	138	3016734	4.6	4.8
	"Iowa"	"19"	"2009"	"2009"	148	3032870	4.9	5.2
	"Iowa"	"19"	"2010"	"2010"	161	3046355	5.3	5.6
	"Iowa"	"19"	"2011"	"2011"	183	3062309	6.0	6.3
	"Iowa"	"19"	"2012"	"2012"	185	3074186	6.0	6.3
	"Iowa"	"19"	"2013"	"2013"	190	3090416	6.1	6.4
	"Iowa"	"19"	"2014"	"2014"	169	3107126	5.4	5.6
	"Iowa"	"19"	"2015"	"2015"	182	3123899	5.8	6.1
	"Iowa"	"19"	"2016"	"2016"	195	3134693	6.2	6.6
	"Iowa"	"19"	"2017"	"2017"	213	3145711	6.8	7.2
	"Iowa"	"19"	"2018"	"2018"	151	3156145	4.8	5.1
	"Kansas"	"20"	"1999"	"1999"	26	2678338	1.0	1.0
	"Kansas"	"20"	"2000"	"2000"	23	2688418	0.9	0.9
	"Kansas"	"20"	"2001"	"2001"	47	2702162	1.7	1.8
	"Kansas"	"20"	"2002"	"2002"	87	2713535	3.2	3.3
	"Kansas"	"20"	"2003"	"2003"	78	2723004	2.9	3.0
	"Kansas"	"20"	"2004"	"2004"	118	2734373	4.3	4.5
	"Kansas"	"20"	"2005"	"2005"	112	2745299	4.1	4.3
	"Kansas"	"20"	"2006"	"2006"	125	2762931	4.5	4.6
	"Kansas"	"20"	"2007"	"2007"	127	2783785	4.6	4.7
	"Kansas"	"20"	"2008"	"2008"	103	2808076	3.7	3.7
	"Kansas"	"20"	"2009"	"2009"	160	2832704	5.6	5.9
	"Kansas"	"20"	"2010"	"2010"	111	2853118	3.9	4.1
	"Kansas"	"20"	"2011"	"2011"	130	2871238	4.5	4.7
	"Kansas"	"20"	"2012"	"2012"	184	2885905	6.4	6.7
	"Kansas"	"20"	"2013"	"2013"	170	2893957	5.9	6.2
	"Kansas"	"20"	"2014"	"2014"	188	2904021	6.5	6.5
	"Kansas"	"20"	"2015"	"2015"	166	2911641	5.7	5.9
	"Kansas"	"20"	"2016"	"2016"	164	2907289	5.6	5.7
	"Kansas"	"20"	"2017"	"2017"	158	2913123	5.4	5.5
	"Kansas"	"20"	"2018"	"2018"	167	2911505	5.7	6.0
	"Kentucky"	"21"	"1999"	"1999"	56	4018053	1.4	1.4
	"Kentucky"	"21"	"2000"	"2000"	94	4041769	2.3	2.3
	"Kentucky"	"21"	"2001"	"2001"	149	4068132	3.7	3.6
	"Kentucky"	"21"	"2002"	"2002"	185	4089875	4.5	4.6
	"Kentucky"	"21"	"2003"	"2003"	241	4117170	5.9	5.9
	"Kentucky"	"21"	"2004"	"2004"	237	4146101	5.7	5.7
	"Kentucky"	"21"	"2005"	"2005"	294	4182742	7.0	7.0
	"Kentucky"	"21"	"2006"	"2006"	343	4219239	8.1	8.2
	"Kentucky"	"21"	"2007"	"2007"	346	4256672	8.1	8.2
	"Kentucky"	"21"	"2008"	"2008"	373	4289878	8.7	8.9
	"Kentucky"	"21"	"2009"	"2009"	452	4317074	10.5	10.6
	"Kentucky"	"21"	"2010"	"2010"	623	4339367	14.4	14.8
	"Kentucky"	"21"	"2011"	"2011"	706	4369356	16.2	16.6
	"Kentucky"	"21"	"2012"	"2012"	712	4380415	16.3	16.4
	"Kentucky"	"21"	"2013"	"2013"	689	4395295	15.7	16.0
	"Kentucky"	"21"	"2014"	"2014"	760	4413457	17.2	17.6
	"Kentucky"	"21"	"2015"	"2015"	911	4425092	20.6	21.6
	"Kentucky"	"21"	"2016"	"2016"	1012	4436974	22.8	24.1
	"Kentucky"	"21"	"2017"	"2017"	1186	4454189	26.6	28.4
	"Kentucky"	"21"	"2018"	"2018"	1011	4468402	22.6	23.9
	"Louisiana"	"22"	"1999"	"1999"	30	4460811	0.7	0.7
	"Louisiana"	"22"	"2000"	"2000"	53	4468976	1.2	1.2
	"Louisiana"	"22"	"2001"	"2001"	87	4477875	1.9	2.0
	"Louisiana"	"22"	"2002"	"2002"	105	4497267	2.3	2.4
	"Louisiana"	"22"	"2003"	"2003"	131	4521042	2.9	3.0
	"Louisiana"	"22"	"2004"	"2004"	157	4552238	3.4	3.5
	"Louisiana"	"22"	"2005"	"2005"	184	4576628	4.0	4.1
	"Louisiana"	"22"	"2006"	"2006"	201	4302665	4.7	4.7
	"Louisiana"	"22"	"2007"	"2007"	227	4375581	5.2	5.3
	"Louisiana"	"22"	"2008"	"2008"	141	4435586	3.2	3.2
	"Louisiana"	"22"	"2009"	"2009"	131	4491648	2.9	3.0
	"Louisiana"	"22"	"2010"	"2010"	130	4533372	2.9	3.0
	"Louisiana"	"22"	"2011"	"2011"	121	4574836	2.6	2.6
	"Louisiana"	"22"	"2012"	"2012"	179	4601893	3.9	3.9
	"Louisiana"	"22"	"2013"	"2013"	270	4625470	5.8	6.0
	"Louisiana"	"22"	"2014"	"2014"	266	4649676	5.7	5.8
	"Louisiana"	"22"	"2015"	"2015"	295	4670724	6.3	6.5
	"Louisiana"	"22"	"2016"	"2016"	358	4681666	7.6	7.9
	"Louisiana"	"22"	"2017"	"2017"	437	4684333	9.3	9.8
	"Louisiana"	"22"	"2018"	"2018"	465	4659978	10.0	10.4
	"Maine"	"23"	"1999"	"1999"	31	1266808	2.4	2.4
	"Maine"	"23"	"2000"	"2000"	42	1274923	3.3	3.3
	"Maine"	"23"	"2001"	"2001"	61	1285692	4.7	4.7
	"Maine"	"23"	"2002"	"2002"	100	1295960	7.7	7.9
